"","Name","Position","Age","Team","Games","GS","AFP","eAFP"
"1","James Harden","SG",30,"HOU",68,68,57.95,3940.6
"2","Kevin Durant","SF",30,"GSW",78,78,46.85,3654.3
"3","Giannis Antetokounmpo","PF",25,"MIL",63,63,54.75,3449.25
"4","Damian Lillard","PG",29,"POR",66,66,51.75,3415.5
"5","LeBron James","PG",35,"LAL",67,67,50.25,3366.75
"6","Nikola Jokić","C",24,"DEN",73,73,44.05,3215.65
"7","Luka Dončić","PG",20,"DAL",61,61,51.65,3150.65
"8","Anthony Davis","PF",26,"LAL",62,62,50.65,3140.3
"9","Devin Booker","SG",23,"PHO",70,70,42.8,2996
"10","Stephen Curry","PG",31,"GSW",69,69,43.1,2973.9
"11","Trae Young","PG",21,"ATL",60,60,48.1,2886
"12","DeMar DeRozan","SF",30,"SAS",68,68,42,2856
"13","Bam Adebayo","PF",22,"MIA",72,72,38.5,2772
"14","Kawhi Leonard","SF",28,"LAC",57,57,48.1,2741.7
"15","Chris Paul","PG",34,"OKC",70,70,38.35,2684.5
"16","Bradley Beal","SG",26,"WAS",57,57,46.3,2639.1
"17","Russell Westbrook","PG",31,"HOU",57,57,45.65,2602.05
"18","Jimmy Butler","SF",30,"MIA",58,58,44.5,2581
"19","Rudy Gobert","C",27,"UTA",68,68,37.95,2580.6
"20","Domantas Sabonis","PF",23,"IND",62,62,40.85,2532.7
"21","Hassan Whiteside","C",30,"POR",67,61,37.6,2519.2
"22","Jayson Tatum","PF",21,"BOS",66,66,37.75,2491.5
"23","Nikola Vučević","C",29,"ORL",62,62,39.3,2436.6
"24","Tobias Harris","PF",27,"PHI",72,72,33.6,2419.2
"25","Donovan Mitchell","SG",23,"UTA",69,69,34.95,2411.55
"26","Ben Simmons","PG",23,"PHI",57,57,41.95,2391.15
"27","CJ McCollum","SG",28,"POR",70,70,33.7,2359
"28","Shai Gilgeous-Alexander","SG",21,"OKC",70,70,33.65,2355.5
"29","Brandon Ingram","PF",22,"NOP",62,62,37.8,2343.6
"30","Andre Drummond","C",26,"TOT",57,56,39.8,2268.6
"31","Kyle Lowry","PG",33,"TOR",58,58,38.75,2247.5
"32","Jonas Valančiūnas","C",27,"MEM",70,70,32,2240
"33","Khris Middleton","SF",28,"MIL",62,59,36.1,2238.2
"34","Ja Morant","PG",20,"MEM",67,67,33.35,2234.45
"35","Zach LaVine","SG",24,"CHI",60,60,37.1,2226
"36","Pascal Siakam","PF",25,"TOR",60,60,36.85,2211
"37","Ricky Rubio","PG",29,"PHO",65,65,33.85,2200.25
"38","Spencer Dinwiddie","PG",26,"BRK",64,49,34.35,2198.4
"39","Jrue Holiday","SG",29,"NOP",61,61,35.9,2189.9
"40","Joel Embiid","C",25,"PHI",51,51,42.75,2180.25
"41","T.J. Warren","SF",26,"IND",67,67,31.45,2107.15
"42","Kristaps Porziņģis","C",24,"DAL",57,57,36.2,2063.4
"43","Montrezl Harrell","C",26,"LAC",63,2,32.75,2063.25
