"","Rank","Name","Position","Age","Team","Games","GS","AFP","eAFP"
"1",1,"James Harden","SG",30,"HOU",68,68,53.65,3648.2
"2",2,"Kevin Durant","SF",30,"GSW",78,78,44.4,3463.2
"3",3,"Giannis Antetokounmpo","PF",25,"MIL",63,63,53.45,3367.35
"4",4,"LeBron James","PG",35,"LAL",67,67,49.2,3296.4
"5",5,"Damian Lillard","PG",29,"POR",66,66,48.65,3210.9
"6",6,"Nikola Jokić","C",24,"DEN",73,73,42.7,3117.1
"7",7,"Luka Dončić","PG",20,"DAL",61,61,49.25,3004.25
"8",8,"Anthony Davis","PF",26,"LAL",62,62,47.7,2957.4
"9",9,"Stephen Curry","PG",31,"GSW",69,69,41.4,2856.6
"10",10,"Devin Booker","SG",23,"PHO",70,70,39.75,2782.5
"11",11,"DeMar DeRozan","SF",30,"SAS",68,68,39.7,2699.6
"12",12,"Bam Adebayo","PF",22,"MIA",72,72,37.45,2696.4
"13",13,"Trae Young","PG",21,"ATL",60,60,44.75,2685
"14",14,"Kawhi Leonard","SF",28,"LAC",57,57,45.45,2590.65
"15",15,"Chris Paul","PG",34,"OKC",70,70,36.75,2572.5
"16",16,"Rudy Gobert","C",27,"UTA",68,68,37.2,2529.6
"17",17,"Russell Westbrook","PG",31,"HOU",57,57,43.9,2502.3
"18",18,"Bradley Beal","SG",26,"WAS",57,57,43.5,2479.5
"19",19,"Hassan Whiteside","C",30,"POR",67,61,37,2479
"20",20,"Domantas Sabonis","PF",23,"IND",62,62,39.75,2464.5
"21",21,"Jimmy Butler","SF",30,"MIA",58,58,41.45,2404.1
"22",22,"Jayson Tatum","PF",21,"BOS",66,66,36.3,2395.8
"23",23,"Nikola Vučević","C",29,"ORL",62,62,38.55,2390.1
"24",24,"Ben Simmons","PG",23,"PHI",57,57,41.35,2356.95
"25",25,"Tobias Harris","PF",27,"PHI",72,72,32.7,2354.4
"26",26,"CJ McCollum","SG",28,"POR",70,70,33,2310
"27",27,"Donovan Mitchell","SG",23,"UTA",69,69,33.3,2297.7
"28",28,"Shai Gilgeous-Alexander","SG",21,"OKC",70,70,32.1,2247
"29",29,"Andre Drummond","C",26,"TOT",57,56,39.4,2245.8
"30",30,"Brandon Ingram","PF",22,"NOP",62,62,35.75,2216.5
"31",31,"Jonas Valančiūnas","C",27,"MEM",70,70,31.35,2194.5
"32",32,"Jrue Holiday","SG",29,"NOP",61,61,35.3,2153.3
"33",33,"Ja Morant","PG",20,"MEM",67,67,32.05,2147.35
"34",34,"Khris Middleton","SF",28,"MIL",62,59,34.55,2142.1
"35",35,"Pascal Siakam","PF",25,"TOR",60,60,35.4,2124
"36",36,"Zach LaVine","SG",24,"CHI",60,60,35.4,2124
"37",37,"Kyle Lowry","PG",33,"TOR",58,58,36.6,2122.8
"38",38,"Ricky Rubio","PG",29,"PHO",65,65,32.6,2119
"39",39,"Spencer Dinwiddie","PG",26,"BRK",64,49,32.45,2076.8
"40",40,"Joel Embiid","C",25,"PHI",51,51,40.1,2045.1
"41",41,"T.J. Warren","SF",26,"IND",67,67,30.45,2040.15
"42",42,"Montrezl Harrell","C",26,"LAC",63,2,31.85,2006.55
"43",43,"Andre Drummond","C",26,"DET",49,48,40.7,1994.3
"44",44,"Kristaps Porziņģis","C",24,"DAL",57,57,34.7,1977.9
"45",45,"Julius Randle","PF",25,"NYK",64,64,30.85,1974.4
"46",46,"Jarrett Allen","C",21,"BRK",70,64,28,1960
"47",47,"Devonte' Graham","PG",24,"CHO",63,53,30.2,1902.6
"48",48,"De'Aaron Fox","PG",22,"SAC",51,49,37,1887
"49",49,"Fred VanVleet","SG",25,"TOR",54,54,34.15,1844.1
"50",50,"Buddy Hield","SG",27,"SAC",72,44,25.5,1836
"51",51,"Al Horford","C",33,"PHI",67,61,27.2,1822.4
"52",52,"Collin Sexton","PG",21,"CLE",65,65,27.65,1797.25
"53",53,"LaMarcus Aldridge","C",34,"SAS",53,53,33.9,1796.7
"54",54,"Jamal Murray","PG",22,"DEN",59,59,30.35,1790.65
"55",55,"Lou Williams","PG",33,"LAC",65,8,27.5,1787.5
"56",56,"Markelle Fultz","PG",21,"ORL",72,60,24.7,1778.4
"57",57,"Kemba Walker","PG",29,"BOS",56,56,31.6,1769.6
"58",58,"Evan Fournier","SF",27,"ORL",66,66,26.6,1755.6
"59",59,"Dennis Schröder","SG",26,"OKC",65,2,26.9,1748.5
"60",60,"Aaron Gordon","PF",24,"ORL",62,62,28.1,1742.2
"61",61,"Lonzo Ball","PG",22,"NOP",63,54,27.55,1735.65
"62",62,"Eric Bledsoe","PG",30,"MIL",61,61,28.35,1729.35
"63",63,"Nemanja Bjelica","PF",31,"SAC",72,67,24,1728
"64",64,"Steven Adams","C",26,"OKC",63,63,27.35,1723.05
"65",65,"Terry Rozier","PG",25,"CHO",63,63,27.3,1719.9
"66",66,"Andrew Wiggins","SF",24,"TOT",54,54,31.8,1717.2
"67",67,"Jaylen Brown","SG",23,"BOS",57,57,29.85,1701.45
"68",68,"Robert Covington","PF-C",29,"TOT",70,68,24.25,1697.5
"69",69,"Dejounte Murray","PG",23,"SAS",66,58,25.7,1696.2
"70",70,"Malcolm Brogdon","PG",27,"IND",54,54,31.4,1695.6
"71",71,"Danilo Gallinari","PF",31,"OKC",62,62,27.3,1692.6
"72",72,"Harrison Barnes","PF",27,"SAC",72,72,23.35,1681.2
"73",73,"Kevin Love","PF",31,"CLE",56,56,29.9,1674.4
"74",74,"Will Barton","SF",29,"DEN",58,58,28.7,1664.6
"75",75,"Kelly Oubre Jr.","SF",24,"PHO",56,55,29.45,1649.2
"76",76,"Gordon Hayward","SF",29,"BOS",52,52,31.7,1648.4
"77",77,"Alec Burks","SF-SG",28,"TOT",66,19,24.7,1630.2
"78",78,"John Collins","PF",22,"ATL",41,41,39.25,1609.25
"79",79,"Brook Lopez","C",31,"MIL",68,67,23.5,1598
"80",80,"Karl-Anthony Towns","C",24,"MIN",35,35,45.5,1592.5
"81",81,"Paul George","SG",29,"LAC",48,48,33.15,1591.2
"82",82,"Marcus Smart","SG",25,"BOS",60,40,26.4,1584
"83",83,"Mitchell Robinson","C",21,"NYK",61,7,25.9,1579.9
"84",84,"Ish Smith","PG",31,"WAS",68,23,23.05,1567.4
