"","Name","Position","Age","Team","Games","GS","AFP"
"1","James Harden","SG",30,"HOU",68,68,92.75
"2","Giannis Antetokounmpo","PF",25,"MIL",63,63,89.15
"3","Luka Dončić","PG",20,"DAL",61,61,87.35
"4","Damian Lillard","PG",29,"POR",66,66,83.95
"5","LeBron James","PG",35,"LAL",67,67,83
"6","Trae Young","PG",21,"ATL",60,60,82.45
"7","Bradley Beal","SG",26,"WAS",57,57,78.1
"8","Karl-Anthony Towns","C",24,"MIN",35,35,76.75
"9","Kawhi Leonard","SF",28,"LAC",57,57,76.4
"10","Anthony Davis","PF",26,"LAL",62,62,75.05
"11","Stephen Curry","PG",31,"GSW",69,69,74.8
"12","Russell Westbrook","PG",31,"HOU",57,57,74.45
"13","Kyrie Irving","PG",27,"BRK",20,20,74.25
"14","Kevin Durant","SF",30,"GSW",78,78,73.4
"15","Devin Booker","SG",23,"PHO",70,70,67
"16","Zach LaVine","SG",24,"CHI",60,60,66.6
"17","Joel Embiid","C",25,"PHI",51,51,66.5
"18","Jayson Tatum","PF",21,"BOS",66,66,65.85
"19","Nikola Jokić","C",24,"DEN",73,73,65.2
"20","D'Angelo Russell","PG",23,"GSW",33,33,64.75
"21","D'Angelo Russell","PG",23,"TOT",45,45,64.65
"22","Nikola Vučević","C",29,"ORL",62,62,64.1
"23","D'Angelo Russell","PG",23,"MIN",12,12,63.9
"24","Pascal Siakam","PF",25,"TOR",60,60,62.9
"25","Andre Drummond","C",26,"DET",49,48,62.8
"26","Jimmy Butler","SF",30,"MIA",58,58,62.8
"27","Brandon Ingram","PF",22,"NOP",62,62,62.75
"28","Andre Drummond","C",26,"TOT",57,56,61.55
"29","Domantas Sabonis","PF",23,"IND",62,62,61.35
"30","Donovan Mitchell","SG",23,"UTA",69,69,60.45
"31","Paul George","SG",29,"LAC",48,48,60
"32","Kristaps Porziņģis","C",24,"DAL",57,57,60
"33","DeMar DeRozan","SF",30,"SAS",68,68,59.6
"34","John Collins","PF",22,"ATL",41,41,59.4
"35","Khris Middleton","SF",28,"MIL",62,59,58.65
"36","Kyle Lowry","PG",33,"TOR",58,58,58.55
"37","Andrew Wiggins","SF",24,"MIN",42,42,58.5
"38","CJ McCollum","SG",28,"POR",70,70,58.4
"39","De'Aaron Fox","PG",22,"SAC",51,49,58
"40","Kevin Love","PF",31,"CLE",56,56,58
"41","Jrue Holiday","SG",29,"NOP",61,61,57.7
"42","Kemba Walker","PG",29,"BOS",56,56,57.4
"43","Andrew Wiggins","SF",24,"TOT",54,54,57.3
"44","Ben Simmons","PG",23,"PHI",57,57,56.05
"45","Devonte' Graham","PG",24,"CHO",63,53,55.9
"46","Bam Adebayo","PF",22,"MIA",72,72,55.75
"47","Tobias Harris","PF",27,"PHI",72,72,55.65
"48","Julius Randle","PF",25,"NYK",64,64,55.5
"49","Chris Paul","PG",34,"OKC",70,70,55.35
"50","Spencer Dinwiddie","PG",26,"BRK",64,49,55.2
"51","Zion Williamson","PF",19,"NOP",24,24,54.8
"52","Fred VanVleet","SG",25,"TOR",54,54,54.4
"53","Hassan Whiteside","C",30,"POR",67,61,54.35
"54","Shai Gilgeous-Alexander","SG",21,"OKC",70,70,54.25
"55","Deandre Ayton","C",21,"PHO",38,32,54.05
"56","LaMarcus Aldridge","C",34,"SAS",53,53,54
"57","Jusuf Nurkić","C",25,"POR",8,8,53.55
"58","Malik Beasley","SG",23,"MIN",14,14,53.35
"59","Ja Morant","PG",20,"MEM",67,67,53.3
"60","Andrew Wiggins","SF",24,"GSW",12,12,53.3
"61","Gordon Hayward","SF",29,"BOS",52,52,52.9
"62","Andre Drummond","C",26,"CLE",8,8,52.85
"63","Rudy Gobert","C",27,"UTA",68,68,52.5
"64","Jaylen Brown","SG",23,"BOS",57,57,52.45
"65","Malcolm Brogdon","PG",27,"IND",54,54,52.2
"66","Jamal Murray","PG",22,"DEN",59,59,52.05
"67","Danilo Gallinari","PF",31,"OKC",62,62,51.3
"68","Caris LeVert","SG",25,"BRK",45,31,51
"69","Lou Williams","PG",33,"LAC",65,8,51
"70","Buddy Hield","SG",27,"SAC",72,44,50.75
"71","Clint Capela","C",25,"HOU",39,39,50.7
"72","Terry Rozier","PG",25,"CHO",63,63,50
"73","Derrick Rose","PG",31,"DET",50,15,49.8
"74","Bojan Bogdanović","SF",30,"UTA",63,63,49.65
